engine	symbol	class	base_hash	xetex_hash	external_boundaries	diff
shared	znum2	XetexWidenedDuplicate	-	c3e1edaf4326bc4e	Clean	IdenticalAfterNormalization
shared	znum3	XetexWidenedDuplicate	-	f32280e5620b5009	Clean	IdenticalAfterNormalization
shared	zoverbar	TexCompatibleDuplicate	93c03fec1bad4ef9	93c03fec1bad4ef9	Clean	IdenticalAfterNormalization
shared	zoverflow	XetexWidenedDuplicate	9d65470876436e69	1a727dfb0d713c98	Clean	SmallGuardedBehavior
shared	zpackage	XetexWidenedDuplicate	2db71f7e7b07e9f9	2c529cf9694b9609	Clean	SmallGuardedBehavior
shared	zpackfilename	TexCompatibleDuplicate	668c054494d88ae8	668c054494d88ae8	Clean	IdenticalAfterNormalization
shared	zpdferror	StrippedPdfExtension	-	39d6700f852910ba	Clean	IdenticalAfterNormalization
shared	zpostlinebreak	XetexWidenedDuplicate	ace9b3a8992ba998	5205ba795de2c666	Clean	LargeSemanticDivergence
shared	zprevrightmost	XetexWidenedDuplicate	-	2b17d50ed89c913a	Clean	IdenticalAfterNormalization
shared	zprimitive	XetexWidenedDuplicate	738f4cb7876f681f	2888de78ae5bc6d0	Clean	LargeSemanticDivergence
shared	zprimlookup	XetexWidenedDuplicate	-	107ca468bf90c376	Clean	IdenticalAfterNormalization
shared	zprint	XetexWidenedDuplicate	6b6d9eeb0bd36a42	f7358356e1c88c79	Clean	LargeSemanticDivergence
shared	zprintchar	XetexWidenedDuplicate	beb9f80a4dbfac2e	14f1979acd387bac	Clean	LargeSemanticDivergence
shared	zprintcmdchr	XetexWidenedDuplicate	7cd54ec73f039317	efb24e0d726798e1	Clean	LargeSemanticDivergence
shared	zprintcs	XetexWidenedDuplicate	e5a7ac94196383be	db3c82cee18af307	Clean	LargeSemanticDivergence
shared	zprintdelimiter	XetexWidenedDuplicate	b5e739b4ffa9ac7f	7bb00c3569b589b1	Clean	LargeSemanticDivergence
shared	zprintesc	XetexWidenedDuplicate	df98e7d451692dd9	5390fd81f37b86fa	Clean	LargeSemanticDivergence
shared	zprintfamandchar	XetexWidenedDuplicate	4b702b4f71d84a31	af9578b6cf26c800	Clean	LargeSemanticDivergence
shared	zprintfilename	XetexWidenedDuplicate	1f05936802907e32	ad8828c174916834	Clean	LargeSemanticDivergence
shared	zprintfontandchar	XetexWidenedDuplicate	965b28e1f744abd1	d0d33891a78f0c05	Clean	LargeSemanticDivergence
shared	zprintglue	XetexWidenedDuplicate	80822fee75a3554e	5c12f3108e61d21f	Clean	SmallGuardedBehavior
shared	zprintgroup	XetexWidenedDuplicate	a32d5ab018c5502c	1dfde0370be2ee8e	Clean	LargeSemanticDivergence
shared	zprinthex	XetexWidenedDuplicate	e2573ed9ff791fc6	bd501d88f17094ba	Clean	SmallGuardedBehavior
shared	zprintinmode	XetexWidenedDuplicate	1b2188054cc47a8c	3d7c9d63fb6203e5	Clean	LargeSemanticDivergence
shared	zprintint	XetexWidenedDuplicate	f9925cb4d9fd218d	8d0a2d91071b18f9	Clean	SmallGuardedBehavior
shared	zprintlengthparam	XetexWidenedDuplicate	97ffcd52389c6155	9e5e85b92650a3b6	Clean	LargeSemanticDivergence
shared	zprintmark	XetexWidenedDuplicate	8a7b5709f2f33ffd	44ee54eb18800d55	Clean	SmallGuardedBehavior
shared	zprintmode	XetexWidenedDuplicate	7c6f1e7a02852a47	37ffd64ad9924ec7	Clean	LargeSemanticDivergence
shared	zprintnativeword	XetexWidenedDuplicate	-	244b509f7fcad54e	Clean	IdenticalAfterNormalization
shared	zprintnl	XetexWidenedDuplicate	b7ad1af065757e00	9085e701bdef4fee	Clean	SmallGuardedBehavior
shared	zprintparam	XetexWidenedDuplicate	5874ae9e8d24b68b	2d166ffc09d37d31	Clean	LargeSemanticDivergence
shared	zprintrawchar	XetexWidenedDuplicate	-	18bdecdde019355b	Clean	IdenticalAfterNormalization
shared	zprintromanint	XetexWidenedDuplicate	980bf1403446bf0e	4ae4a34704ba8c66	Clean	SmallGuardedBehavior
shared	zprintruledimen	XetexWidenedDuplicate	0cbf80152ef20685	331e69953a19da8b	Clean	SmallGuardedBehavior
shared	zprintsanum	XetexWidenedDuplicate	062d1e34609ed69b	799de78514547fcb	Clean	SmallGuardedBehavior
shared	zprintscaled	XetexWidenedDuplicate	0ba3be40adf3ba4f	61e15ea9669fb8c5	Clean	SmallGuardedBehavior
shared	zprintsize	XetexWidenedDuplicate	f31f71e99616736b	c38acad8dce0b1cb	Clean	LargeSemanticDivergence
shared	zprintskipparam	XetexWidenedDuplicate	6aaf79a77c7b7fc9	36d8d6e276dbd0bc	Clean	LargeSemanticDivergence
shared	zprintspec	XetexWidenedDuplicate	780066c04dfd1e3b	49d3500c6eb87bd9	Clean	SmallGuardedBehavior
shared	zprintstyle	XetexWidenedDuplicate	aab5dbcc042e2f97	fb88430dd4770ec8	Clean	LargeSemanticDivergence
shared	zprintsubsidiarydata	XetexWidenedDuplicate	159e0805edb2315e	f14b4079a9db0724	Clean	LargeSemanticDivergence
shared	zprintthedigs	XetexWidenedDuplicate	91b9a8fe57692d29	6ebfd1aa563f9ad3	Clean	LargeSemanticDivergence
shared	zprintucscode	XetexWidenedDuplicate	-	664b04ed5c87c04a	Clean	IdenticalAfterNormalization
shared	zprintwritewhatsit	StrippedWriteWhatsitDiagnostic	061228f778eb8cdf	061228f778eb8cdf	Clean	IdenticalAfterNormalization
shared	zpushmath	XetexWidenedDuplicate	7a1e01bbaee6b2ee	85cd9c93223bcf3c	Clean	SmallGuardedBehavior
shared	zpushnode	XetexWidenedDuplicate	-	22afbf3ba77e006f	Clean	IdenticalAfterNormalization
shared	zquotient	TexCompatibleDuplicate	33382bffb6cbefd7	33382bffb6cbefd7	Clean	IdenticalAfterNormalization
shared	zreadfontinfo	BoundaryAdapterRequired	159a2fe8a8381bee	43b820b327a18e80	checkfortfmfontmapping,loadtfmfontmapping	HostBoundaryDifference
shared	zreadtoks	BoundaryAdapterRequired	c87302c9367085be	b6df9cd506658924	u_close_file_or_pipe	HostBoundaryDifference
shared	zrebox	TexCompatibleDuplicate	f397700825a75239	f397700825a75239	Clean	IdenticalAfterNormalization
shared	zreconstitute	XetexWidenedDuplicate	e362739ea23b1a40	6f042e750b5aca8d	Clean	SmallGuardedBehavior
shared	zrestoretrace	XetexWidenedDuplicate	f1a44b7f17136d3b	5e118ddbb5261ee9	Clean	LargeSemanticDivergence
shared	zrounddecimals	XetexWidenedDuplicate	b922c9d64be612d9	b64bbd04a0133343	Clean	SmallGuardedBehavior
shared	zroundxnoverd	XetexWidenedDuplicate	-	429d721b3b6742f5	Clean	IdenticalAfterNormalization
shared	zsadef	XetexWidenedDuplicate	b3f4d7704170b7a0	f6d0e5ff1f16e373	Clean	LargeSemanticDivergence
shared	zsadestroy	XetexWidenedDuplicate	45a9bbdd7e426aa9	16f9b07740a15e1f	Clean	OnlyConstantsDiffer
shared	zsasave	XetexWidenedDuplicate	df9616d9b73d501c	78c6242cbfceab1d	Clean	SmallGuardedBehavior
shared	zsaveforafter	XetexWidenedDuplicate	f1c7fd647372d157	f41a1f6f0dc416ca	Clean	SmallGuardedBehavior
shared	zsawdef	XetexWidenedDuplicate	fd8ae2025b781c7f	6e21a5f14cf8bf4c	Clean	LargeSemanticDivergence
shared	zscanbox	XetexWidenedDuplicate	0599dbb35c7753ff	4ff06c78b0a95c49	Clean	SmallGuardedBehavior
